,beer,rec_beer,distance
166,315443,251,2.0
167,315443,46389,2.00249843945008
168,315443,17334,2.009975124224178
169,315443,229826,2.0223748416156693
170,315443,718172,2.039607805437113
171,358361,251,1.4142135623730951
172,358361,199453,1.7320508075688772
173,358361,271470,2.0
174,358361,315443,2.0
175,358361,1168,2.0
176,358361,1478,2.0
177,358361,46389,2.00249843945008
178,358361,17334,2.009975124224178
179,358361,229826,2.0223748416156693
180,401367,906974,2.193171219946133
181,401367,199453,2.449489742783178
182,401367,899802,2.467792535850614
183,401367,613981,2.467792535850614
184,401367,135361,2.4819347291981737
185,401367,2516,2.5
186,401367,784135,2.5
187,401367,169964,2.5
188,401367,252000,2.5219040425836967
189,493355,730320,2.0
190,493355,219102,2.0
191,493355,268685,3.4641016151377544
192,493355,124756,3.5832945734337835
193,493355,221535,3.774917217635375
194,493355,444742,3.774917217635375
195,493355,633978,4.123105625617661
196,493355,179028,4.898979485566356
197,493355,143730,4.898979485566356
198,500620,553454,0.20000000000000676
199,500620,622701,0.20000000000000676
200,500620,718172,0.29999999999999977
201,500620,12775,1.4282856857085708
202,500620,271470,1.5779733838059495
203,500620,633978,1.920937271229855
204,500620,708686,2.009975124224179
205,500620,764554,2.009975124224179
206,500620,550283,2.009975124224179
207,550283,708686,1.4142135623730951
208,550283,271470,1.5
209,550283,143730,1.5
210,550283,622701,2.0
211,550283,12775,2.0
212,550283,553454,2.0
213,550283,718172,2.002498439450078
214,550283,500620,2.009975124224179
215,550283,748613,2.449489742783178
216,552713,748591,1.0000000000000018
217,552713,784135,2.0099751242241797
218,552713,906974,2.0099751242241797
219,552713,35424,2.0223748416156693
220,552713,764554,2.1540659228538033
221,552713,252000,2.4515301344262537
222,552713,229310,2.4515301344262537
223,552713,271470,2.467792535850614
224,552713,730796,2.467792535850614
225,553454,553454,0.0
226,553454,718172,0.09999999999999006
227,553454,500620,0.20000000000000676
228,553454,12775,1.4142135623730951
229,553454,271470,1.5
230,553454,550283,2.0
231,553454,708686,2.0
232,553454,764554,2.0
233,553454,229826,2.009975124224178
234,613981,613981,0.0
235,613981,135361,2.1189620100417113
236,613981,784135,2.154065922853802
237,613981,229310,2.1931712199461297
238,613981,252000,2.1931712199461297
239,613981,906973,2.28910462845192
240,613981,748613,2.28910462845192
241,613981,906974,2.3323807579381213
242,613981,634182,2.3853720883753122
243,614833,667364,2.0
244,614833,86387,2.0
245,614833,748613,2.8284271247461903
246,614833,550283,2.8284271247461903
247,614833,553454,2.8284271247461903
248,614833,906973,2.8284271247461903
249,614833,814374,2.8284271247461903
250,614833,708686,2.8284271247461903
251,614833,764554,2.8284271247461903
252,621308,229826,2.0
253,621308,72025,2.0099751242241797
254,621308,730796,2.0223748416156693
255,621308,986319,2.449489742783178
256,621308,17334,2.4515301344262537
257,621308,35424,2.467792535850614
258,621308,748591,2.4819347291981715
259,621308,552713,2.5219040425837
260,621308,718172,2.830194339616982
261,622701,553454,0.0
262,622701,718172,0.09999999999999006
263,622701,500620,0.20000000000000676
264,622701,12775,1.4142135623730951
265,622701,271470,1.5
266,622701,550283,2.0
267,622701,708686,2.0
268,622701,764554,2.0
269,622701,229826,2.009975124224178
270,633978,444742,0.5
271,633978,500620,1.920937271229855
272,633978,221535,2.0615528128088303
273,633978,622701,2.0615528128088303
274,633978,553454,2.0615528128088303
275,633978,718172,2.1354156504062627
276,633978,124756,2.154065922853801
277,633978,143730,2.23606797749979
278,633978,268685,2.23606797749979
279,251,199453,1.0
